Informant,response mantel 8.4,Comments
PA26A,broad shelf,
PA26A,mantelshelf,
PA26B,mantel,
PA27A,mantelpiece,
PA27B,mantel,
PA28A,mantel,
PA28B!,mantel,
PA29A,mantel,
PA29B,mantel,
PA30A,mantelshelf,
PA30B,mantel,
PA31A,mantel,
PA31B,mantel,
PA32A,mantel,
PA32B,NR,
PA33A,mantel,
PA33B,mantel,
PA34A,shelf,
PA34A,mantelpiece,
PA34B,mantel,
PA34C!,mantel,
PA34C!,mantelpiece,
PA35A,mantel,
PA35B,mantel,
PA35C,mantel,
PA36A,mantel,
PA36B,mantel,
PA37A,mantelpiece,
PA37B,shelf,
PA37C,shelf,
PA38A,mantel,
PA38B,mantel,
PA39A,mantel,
PA39B,mantel,
PA40A,mantel,
PA40B,mantel,
PA41A,shelf,
PA41B,mantelpiece,
PA42A,mantel,
PA42B,mantelpiece,
PA43A,mantelpiece,
PA43B,mantel,
PA44A,mantel,
PA44B,mantel,
PA45A,mantel,
PA45B,mantel,
PA46A,mantel,
PA46B,mantel,
PA47A,mantelpiece,
PA47B,mantel,
PA48A,mantel,
PA48B,mantel,
PA48C,mantel,
PA49A,mantel,
PA49A,shelf,
PA49B,mantel,
PA50A,mantel,
PA50B,mantel,
PA50C!,mantel,
PA51A,mantel,
PA51B,mantel,
PA52A,mantel,
PA52B!,mantel,
PA53A,mantel,
PA53B,mantelpiece,
PA54A,mantel,
PA54B,mantel,
PA55A,mantel,
PA55B,mantel,
PA56A,mantel,usually
PA56A,shelf,
PA56A,mantel,
PA56B,mantel,
PA57A,mantel,
PA57B,mantel,
PA58A,mantel,
PA58B,mantel,
PA59A,mantel,
PA59B,mantel,
PA60A,mantel,
PA60B,mantel,
PA61A,mantel,
PA61B,mantel,
PA62A,mantel,
PA62B,mantel,
PA63A,mantelpiece,
PA63B,mantel,
PA64A,mantel,
PA64B,mantel,
PA65A,mantelshelf,
PA65B,mantel,
PA66A,mantel,
PA66B,mantel,obsolete
PA67A,mantelpiece,
PA67A,shelf,
PA67B,mantel,
WV1!,mantel,
WV1!,mantelpiece,
WV2,mantel,
WV3,mantel,
WV4A,fireboard,
WV4B,mantel,
WV4B,shelf,
WV5,mantel,
WV6A,fireboard,
WV6B,mantel,
WV7A,mantelboard,
WV7A,fireboard,
WV7B,mantelboard,
WV8A,fireboard,
WV8B,mantelpiece,
WV9A,mantelboard,
WV9B,mantel,
WV10A,mantelpiece,
WV10B,mantel,
WV10C,mantel,
WV11A,mantel,
WV11B!,mantel,
WV12A,mantel,
WV12B,mantel,
WV13A,mantel,
WV13A,shelf,
WV13B,mantel,
WV14A,mantel,
WV14B,mantel,
WV15A,mantel,
WV15B,mantel,
WV16A,fireboard,
WV16B,mantel,
WV17A,mantelboard,
WV17B,mantel,
WV17C,mantelpiece,
WV18A,mantel,
WV18B,mantel,
WV19A,fireboard,
WV19B,mantel,
WV20A,NR,
WV20B,mantel,
WV20B,fireboard,
WV21A,fireboard,
WV21B,fireboard,
WV22A,fireboard,
WV22B,mantel,
WV23A,mantel,
WV23B,mantel,
WV24A,mantel,
WV24A,fireboard,
WV24B,NR,
WV25A,fireboard,
WV25B,mantel,
WV26A,mantel,
WV26A,fireboard,
WV26B,mantel,
WV27A,mantelboard,
WV27B,fireboard,
WV28A,mantel,
WV28A,fireboard,
WV28B,mantel,
WV29A,mantel,
WV29A,fireboard,
WV29B,mantel,
WV30A,fireboard,
WV30B,mantel,
WV30B,fireboard,
WV31A,fireboard,
WV31B,mantel,
WV32A,fireboard,
WV32B,fireboard,
WV33A,fireboard,
WV33B,mantel,
WV34A,mantel,
WV34B,mantelboard,
WV35A,mantel,
WV35B,mantel,
WV36A,fireboard,
WV36B,mantel,
WV37A,mantel,
WV37B!,mantel,
WV38A,mantel,
WV38A,mantelboard,
WV38A,fireboard,
WV38B,mantel,
WV38B,fireboard,
WV39A,mantelpiece,
WV39B,mantel,
WV39C!,mantel,
WV40A,mantel,
WV40A,fireboard,
WV40B,mantelboard,
